isoform	mean_tumor_iso_pct_brca	mean_normal_iso_pct_brca	mean_iso_pct_diff_brca	pval_brca	n_samps_brca	padj_brca	mean_tumor_iso_pct_luad	mean_normal_iso_pct_luad	mean_iso_pct_diff_luad	pval_luad	n_samps_luad	padj_luad	mean_tumor_iso_pct_hnscc	mean_normal_iso_pct_hnscc	mean_iso_pct_diff_hnscc	pval_hnscc	n_samps_hnscc	padj_hnscc
ZNF250-2	0.14371949843030202	0.1492277143511773	-0.005508215920875267	0.5907938472273769	112.0	0.756999978695521	0.1823242542012221	0.17276959358948124	0.010153278148396384	0.46718182995969393	104.0	0.586175445369754	0.18377003431155425	0.157987242596628	0.02661477076636456	0.02302810369656072	39.0	0.11528008274763124
ZNF254-1	0.4524480193344338	0.41586357854624484	0.03610686485344074	0.08574440104493815	111.0	0.19569236387280195	0.28321198696854827	0.24930497949376115	0.03391774911171913	0.06315215560609695	101.0	0.1353719933778576	0.11271761479042532	0.2677796720412008	-0.14333845442708398	0.00024254314922901991	27.0	0.005106186617044197
ZNF254-2	0.07749677893855625	0.07056666092121754	0.0062943823333637865	0.6838981795793061	111.0	0.8275009295837775	0.13013404127599681	0.11227534500903888	0.01691702469711856	0.259416834386872	101.0	0.3954263746001946	0.20374673948262845	0.1958976172655578	0.004159828625089897	0.9905734956264496	27.0	0.9929778002274847
ZNF26-1	0.3365804293581112	0.36874492988678387	-0.03317303234702384	1.8738982006080747e-05	109.0	0.00016563354434188322	0.33577452697369564	0.39860837168783814	-0.06540828688719567	4.86594327106834e-10	100.0	1.1316147142019396e-08						
ZNF26-2	0.6634195706418887	0.6312550701132161	0.03317303234702383	1.8738982006080747e-05	109.0	0.00016563354434188322	0.6642254730263044	0.6013916283121619	0.06540828688719567	4.86594327106834e-10	100.0	1.1316147142019396e-08						
ZNF263-1	0.591008723636607	0.5472206932614416	0.043788030375165175	3.942415759964387e-05	112.0	0.00031630304904945047	0.6205430496576246	0.6111740909335495	0.009368958724075154	0.325598066278875	105.0	0.4605347472119873	0.6234729707563645	0.631989480759641	-0.008516510003276502	0.6887680032521075	43.0	0.8287895441575862
ZNF263-3	0.030181610531734317	0.039731281535477066	-0.009549671003742757	0.00022436408062176256	112.0	0.001329612136866468	0.04417550027769933	0.04484645215970233	-0.0006709518820030013	0.6281611262636397	105.0	0.7304199142600463	0.07000330674406877	0.06268706394772462	0.007316242796344138	0.1186206466998101	43.0	0.33670327894860186
ZNF264-1	0.7621538939790581	0.7133709488132591	0.04878294516579919	1.3325448230865158e-05	112.0	0.00012634947731629418	0.7020638150193461	0.7062257201301306	-0.004161905110784414	0.8341429803571256	105.0	0.8855021022899423	0.6237906580393817	0.6936332262977001	-0.06358890032674004	0.012706785496447992	41.0	0.07443833205720597
ZNF264-2	0.10885799113955298	0.12333152099537673	-0.014473529855823758	0.16776422693370185	112.0	0.3193030815544727	0.0872674911189817	0.06638221730916498	0.020885273809816696	0.017335581064593774	105.0	0.04697989448399397	0.11487854010153109	0.09760637828505446	0.018199267187305558	0.09976205241362056	41.0	0.3051979825690762
ZNF264-3	0.09270286901095871	0.12018268253022492	-0.027479813519266223	0.0020088025375284133	112.0	0.009070047820961623	0.14989573675256956	0.18663885255995247	-0.03674311580738294	0.0017216362257634376	105.0	0.006914201709893324	0.2324550736026859	0.18106039174127808	0.04711508490925023	0.04812307721749676	41.0	0.19110414318102076
